Name,English name,Episodes,Aired,Genres,Score
Gundam: G no Reconguista Movie III - Uchuu kara no Isan,Gundam Reconguista in G III: Legacy from Space,1,"Jul 22, 2021","Action, Sci-Fi",6.94
Gundam: G no Reconguista Movie IV - Gekitou ni Sakebu Ai,Gundam Reconguista in G IV: Love That Cries Out in Battle,1,"Jul 22, 2022","Action, Sci-Fi",7.19
Gundam: G no Reconguista Movie V - Shisen wo Koete,UNKNOWN,1,"Aug 5, 2022","Action, Sci-Fi",7.12
Godzilla: S.P,Godzilla Singular Point,13,"Apr 1, 2021 to Jun 24, 2021","Action, Award-Winning, Mystery, Sci-Fi",6.65
Kaitai Shita Inu no Blues,UNKNOWN,1,"Oct 7, 2019",Avant Garde,5.59
Wonder Egg Priority,Wonder Egg Priority,12,"Jan 13, 2021 to Mar 31, 2021","Drama, Fantasy",7.63
Because,UNKNOWN,1,"Sep 1, 2020",Avant Garde,5.55
Yuukoku no Moriarty Part 2,Moriarty the Patriot Part 2,13,"Apr 4, 2021 to Jun 27, 2021","Mystery, Suspense",8.27
Sekikashita Kusanagi,Snickers x Dr Stone,1,"Oct 4, 2020","Comedy, Sci-Fi",7.26
Gebäude Bäude,UNKNOWN,10,"Nov 8, 2020 to Dec 10, 2020","Comedy, Sci-Fi",6.03
Sign (2019),UNKNOWN,1,"Mar 18, 2019",Avant Garde,5.95
Bear Bear Bear Kuma!,UNKNOWN,12,"Oct 9, 2020 to Dec 25, 2020",Comedy,6.57
Harmonia feat. Makoto,UNKNOWN,1,"Feb 9, 2017",Avant Garde,5.99
Chiyuki no Fashion Check,UNKNOWN,9,"Mar 8, 2020 to Apr 5, 2020",Comedy,5.4
Pocari Sweat Run Carnival 2019,UNKNOWN,1,"Jul 3, 2019",Sports,5.52
Citrus (Music),UNKNOWN,1,"Jan 22, 2020",Avant Garde,5.83
Yubi no Sukima-chan,The devil between my fingers,1,2009,Avant Garde,5.04
Haiiro no Saga,UNKNOWN,1,"Oct 9, 2020","Fantasy, Supernatural",6.28
Shadows House,Shadows House,13,"Apr 11, 2021 to Jul 4, 2021","Fantasy, Mystery",7.79
Boukentai: Mori no Yuusha,Adventuring Party: Hero of Forest,1,"Oct 14, 2020",Drama,6.36
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,"Science Fell in Love, So I Tried to Prove It r=1-sinθ",12,"Apr 2, 2022 to Jun 18, 2022","Comedy, Romance",7.31
Toaru Kagaku no Railgun T: Motto Marutto Railgun,UNKNOWN,2,"Apr 30, 2020 to Oct 9, 2020",Comedy,6.83
Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥,UNKNOWN,1,"Sep 15, 2021",Action,5.48
Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,12,"Jul 7, 2021 to Sep 22, 2021","Action, Adventure, Comedy, Fantasy",7.71
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Dr. Stone: Stone Wars Eve of the Battle Special Feature,1,"Oct 11, 2020","Adventure, Sci-Fi, Suspense",7.17
Tsurune Movie: Hajimari no Issha,UNKNOWN,1,"Aug 19, 2022",Sports,7.02
Fire Emblem Heroes Book III Movie：Cohort of the Dead,Fire Emblem Heroes: Book III Movie - Cohort of the Dead,1,"Jul 21, 2019","Action, Fantasy, Horror, Supernatural",6.21
Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,Pokémon: Twilight Wings - The Gathering of Stars,1,"Nov 5, 2020",Fantasy,6.93
Yakusoku (2020),Promise,1,"Oct 24, 2020",Drama,6.94
Hetalia World★Stars,UNKNOWN,12,"Apr 1, 2021 to Jun 17, 2021",Comedy,6.83
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,13,"Apr 9, 2022 to Jun 25, 2022","Comedy, Romance",9.05
Jue Shi Wu Hun,UNKNOWN,340,"Oct 25, 2020 to ?","Action, Fantasy",6.63
Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,My Hero Academia: Heroes Rising - Epilogue Plus,1,"Jul 15, 2020",Comedy,7.48
Tenkuu Shinpan,High-Rise Invasion,12,"Feb 25, 2021","Action, Horror, Mystery",6.71
Kageki Shoujo!!,Kageki Shojo!!,13,"Jul 4, 2021 to Sep 26, 2021",Drama,7.75
Gokushufudou,The Way of the Househusband,5,"Apr 8, 2021",Comedy,7.23
Thermae Romae Novae,UNKNOWN,11,"Mar 28, 2022","Comedy, Slice of Life",7.19
Yasuke,Yasuke,6,"Apr 29, 2021","Action, Fantasy",5.76
Juunenbun no Watashi e,UNKNOWN,1,"Oct 25, 2020",Drama,6.17
Ai wo Komete,With Love,1,"Apr 8, 2015","Comedy, Slice of Life",5.53
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀ Mini Anime",UNKNOWN,2,"Nov 7, 2020 to Nov 14, 2020","Action, Fantasy",5.57
Getter Robo Arc,UNKNOWN,13,"Jul 4, 2021 to Sep 26, 2021","Action, Sci-Fi",6.1
Attack Zero x Evangelion,UNKNOWN,1,"Nov 2, 2020",Slice of Life,5.22
Misaki no Mayoiga,The House of the Lost on the Cape,1,"Aug 27, 2021","Award-Winning, Drama",6.76
Bakuten!!,Backflip!!,12,"Apr 9, 2021 to Jun 25, 2021",Sports,7.52
Hikari no Ou,The Fire Hunter,10,"Jan 14, 2023 to Mar 18, 2023",Fantasy,6.4
Cestvs: The Roman Fighter,UNKNOWN,11,"Apr 15, 2021 to Jun 24, 2021","Action, Drama",5.96
Night Head 2041,Night Head 2041,12,"Jul 15, 2021 to Sep 30, 2021","Drama, Mystery, Sci-Fi, Supernatural",6.51
OTMGirls no Yokiyoki Channel,Official Channel of OTMGirls,13,"Sep 2, 2020 to Dec 18, 2021",Comedy,5.58
Deatte 5-byou de Battle,Battle Game in 5 Seconds,12,"Jul 13, 2021 to Sep 28, 2021",Supernatural,6.76
Miko no Tsutome!,UNKNOWN,10,"Dec 7, 2018 to Feb 8, 2019",Comedy,6.13
Kanojo mo Kanojo,"Girlfriend, Girlfriend",12,"Jul 3, 2021 to Sep 18, 2021","Comedy, Romance",6.54
Doraemon Movie 41: Nobita no Little Star Wars,Doraemon the Movie 2021: Nobita's Space War (Little Star Wars),1,"Mar 4, 2022","Adventure, Comedy, Sci-Fi",7.01
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",13,"Oct 6, 2021 to Dec 29, 2021","Adventure, Fantasy, Romance",6.94
Abciee Shuugyou Nikki,ABCiee Working Diary,12,"Jan 7, 2021 to Mar 25, 2021",Comedy,5.43
Tian Huang Zhan Shen,God of Desolation,80,"Nov 18, 2020 to Aug 11, 2021","Action, Fantasy",6.62
Gundam Build Divers: Battlogue,Gundam Build Divers Battlogue,1,"Nov 13, 2020","Action, Sci-Fi",6.5
Puparia,Puparia,1,"Nov 20, 2020",Avant Garde,7.62
Xin Shen Bang: Nezha Chongsheng,New Gods: Nezha Reborn,1,"Feb 12, 2021","Action, Fantasy, Sci-Fi",7.24
Chu Feng: Yi Dian Zhi Zi,UNKNOWN,12,"Nov 18, 2020 to Jan 27, 2021","Action, Fantasy, Romance, Sci-Fi",5.95
Tamaya Shichiten Tanjoubi-hen CM,UNKNOWN,1,"Oct 27, 2020",Slice of Life,5.65
Lie Huo Jiao Chou,Drowning Sorrows in Raging Fire,12,"Oct 7, 2021 to Dec 16, 2021","Action, Drama, Supernatural",7.07
Dinghai Fusheng Lu,Dinghai Fusheng Records,12,"Jul 15, 2021 to Dec 16, 2021","Action, Fantasy",6.84
Bai Yao Pu 2nd Season,Fairies Albums 2,12,"Jul 18, 2021 to Sep 26, 2021","Adventure, Fantasy, Mystery, Supernatural",7.18
Tian Bao Fuyao Lu 2nd Season,Legend of Exorcism,13,"Apr 25, 2021 to Aug 1, 2021","Action, Adventure, Fantasy, Supernatural",7.47
Xian Wang de Richang Shenghuo 2,The Daily Life of the Immortal King 2,12,"Oct 30, 2021 to Jan 8, 2022","Adventure, Comedy, Fantasy",7.39
Tian Guan Ci Fu Special,Heaven Official's Blessing Special,1,"Feb 16, 2021","Drama, Supernatural",8.4
Yuan Long 2nd Season,Carp Reborn 2nd Season,16,"Jul 3, 2021 to Oct 2, 2021","Action, Adventure, Fantasy",6.95
Ba Ma Laizi Er Ciyuan,My ACG Parents,24,"Oct 10, 2021 to Dec 26, 2021",Comedy,6.13
Ni Zhenshi Ge Tiancai,UNKNOWN,24,"Apr 23, 2022 to Jul 9, 2022","Comedy, Fantasy",5.95
Shiguang Dailiren,Link Click,11,"Apr 30, 2021 to Jul 9, 2021","Drama, Supernatural",8.72
Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 2nd Season,UNKNOWN,12,"Dec 27, 2019 to Apr 3, 2020","Action, Adventure, Comedy",6.22
Prayer X,UNKNOWN,1,"Aug 6, 2018",Avant Garde,7.07
Gintama: The Semi-Final,UNKNOWN,2,"Jan 15, 2021 to Jan 20, 2021","Action, Comedy",8.47
Ling Long: Incarnation Final Chapter,UNKNOWN,2,"May 1, 2021 to May 5, 2021","Action, Drama, Horror, Sci-Fi, Suspense",6.94
Huyao Xiao Hongniang: Mu Tiancheng,UNKNOWN,12,"Dec 11, 2020 to Feb 19, 2021","Comedy, Drama, Romance, Supernatural",6.79
Mars Red: Zero Kikan Nippou,UNKNOWN,5,"Nov 24, 2020 to Mar 23, 2021",Comedy,5.55
Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,46,"Feb 28, 2021 to Jan 30, 2022","Action, Fantasy",7.41
Shanhe Jian Xin,Thousand Autumns,16,"Feb 8, 2021 to Mar 15, 2021","Action, Fantasy",7.67
Boku no Hero Academia the Movie 3: World Heroes' Mission,My Hero Academia: World Heroes' Mission,1,"Aug 6, 2021",Action,7.58
Fire Emblem Heroes - Book IV Ending Movie,UNKNOWN,1,"Nov 26, 2020","Action, Drama, Supernatural, Suspense",5.68
Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,12,"Jul 6, 2021 to Sep 21, 2021","Action, Adventure, Fantasy, Romance",7.06
Kyokou Suiri Season 2,In/Spectre 2,12,"Jan 9, 2023 to Mar 27, 2023","Mystery, Romance, Supernatural",7.35
Yami Shibai 8,Theatre of Darkness: Yamishibai 8,13,"Jan 11, 2021 to Apr 5, 2021","Avant Garde, Horror, Supernatural",5.8
Tunshi Xingkong,Swallowed Star,26,"Nov 29, 2020 to May 16, 2021","Action, Adventure, Fantasy, Sci-Fi",7.82
Xie Wang Zhui Qi: Yishi Qingcheng,Be My Wife,12,"Dec 4, 2020 to Feb 19, 2021","Action, Comedy, Drama, Fantasy, Romance",7.27
Yinhe Zhi Xin,Foreordination,12,"Oct 25, 2022 to Jan 5, 2023","Action, Sci-Fi",6.21
Pui Pui Molcar,UNKNOWN,12,"Jan 5, 2021 to Mar 23, 2021",Comedy,8.01
Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!,UNKNOWN,1,"Nov 28, 2020",Action,5.84
Fate/Grand Carnival,Fate/Grand Carnival,4,"Dec 31, 2020 to Oct 13, 2021","Comedy, Fantasy, Supernatural",7.8
He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,He Wei Dao x Kaguya-sama: Love is War,2,"Oct 18, 2020 to Oct 29, 2020","Comedy, Romance",6.88
Mewkledreamy Mix!,UNKNOWN,50,"Apr 11, 2021 to Mar 27, 2022","Adventure, Fantasy",7.14
Puraore! Pride of Orange,PuraOra! PRIDE OF ORANGE,12,"Oct 6, 2021 to Dec 22, 2021",Sports,6.28
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,12,"Apr 7, 2021 to Jun 23, 2021","Action, Comedy, Fantasy",6.47
Koyoi wa Halloween Night!,"Halloween Night, Tonight!",1,"Oct 31, 2020",Supernatural,6.51
Biao Ren: Blades of the Guardians,Blades of the Guardians,14,"Jun 1, 2023 to ?",Action,7.38
Zi Chuan,Zi Chuan,42,"Dec 21, 2021 to Sep 20, 2022","Action, Fantasy",6.91
Tian Mei De Yao Hen,Sweet Bite Marks,12,"Sep 1, 2022 to Nov 3, 2022","Drama, Romance, Supernatural",6.57
Da Wang Rao Ming,"Spare Me, Great Lord!",12,"Dec 3, 2021 to Feb 11, 2022","Action, Adventure, Comedy, Fantasy",7.53
Long Zu,Dragon Raja,16,"Aug 19, 2022 to Nov 25, 2022","Adventure, Fantasy",7.14
Xing Hai Qishi,Knights on Debris,7,"Dec 30, 2020 to Feb 3, 2021","Action, Fantasy, Sci-Fi",6.61
Shi Ye Miao Yin,UNKNOWN,11,"Sep 29, 2021 to Dec 1, 2021","Adventure, Fantasy, Supernatural",6.02
Doupo Cangqiong 4th Season,Fights Break Sphere 4th Season,24,"Mar 28, 2021 to Aug 29, 2021","Action, Adventure, Fantasy, Romance, Supernatural",7.94
Connected...,UNKNOWN,1,"Dec 6, 2020",Sci-Fi,5.24
Chainsaw Man,Chainsaw Man,12,"Oct 12, 2022 to Dec 28, 2022","Action, Fantasy",8.59
Wo Shi Da Shenxian,I Am A Great God,16,"Nov 12, 2020 to Feb 18, 2021","Action, Fantasy",6.69
Koroshi Ai,Love of Kill,12,"Jan 13, 2022 to Mar 30, 2022","Action, Romance",6.9
Kakushigoto Movie,UNKNOWN,1,"Jul 9, 2021","Comedy, Slice of Life",7.67
The Gregory Gallery Tour Special,UNKNOWN,3,"Mar 3, 2000 to Jun 21, 2000","Comedy, Horror, Mystery, Supernatural",5.6
Adachi to Shimamura Mini Anime,UNKNOWN,30,"Sep 11, 2020 to Mar 2, 2021",Comedy,5.69
Slime-tachi no Idobata Kaigi,UNKNOWN,25,"Aug 21, 2020 to Dec 17, 2020","Comedy, Fantasy",5.67
Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,1,"Jul 30, 2021",Comedy,7.3
Chinzei Hachirou Tametomo,UNKNOWN,1,"Dec 10, 2020","Action, Adventure, Comedy",5.89
I Wanna Be Your Friend,I Wanna Be Your Friend,1,"Mar 29, 2015",Comedy,5.87
I Think You're a Little Confused,I Think You're a Little Confused,1,"Jul 30, 2016",Horror,5.61
Ryuu to Sobakasu no Hime,Belle,1,"Jul 16, 2021","Drama, Fantasy",7.52
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2,12,"Jul 10, 2021 to Sep 25, 2021","Drama, Fantasy",6.81
Tonikaku Kawaii: SNS,TONIKAWA: Over The Moon For You - SNS,1,"Aug 18, 2021","Comedy, Romance",8.08
World Trigger 3rd Season,UNKNOWN,14,"Oct 10, 2021 to Jan 23, 2022","Action, Sci-Fi",8.27
Shuumatsu no Walküre,Record of Ragnarok,12,"Jun 17, 2021","Action, Drama, Fantasy",6.73
Platinum End,Platinum End,24,"Oct 8, 2021 to Mar 25, 2022","Drama, Supernatural, Suspense",6.06
Philip,UNKNOWN,1,"Oct 2, 2020",Action,6.22
Taishou Otome Otogibanashi,Taisho Otome Fairy Tale,12,"Oct 9, 2021 to Dec 25, 2021","Comedy, Drama, Romance",7.79
An Jie Shen Shi,Divine Envoy of the Dark World,22,"Dec 25, 2020 to May 21, 2021","Action, Fantasy",6.22
Wan Jie Fa Shen,God of Ten Thousand Realms,54,"Dec 21, 2020 to Jun 18, 2021","Adventure, Fantasy, Romance",7.17
Okashi na Sabaku no Suna to Manu,UNKNOWN,50,"Feb 14, 2021 to Feb 2, 2022",Comedy,5.58
Slow Loop,Slow Loop,12,"Jan 7, 2022 to Mar 25, 2022","Gourmet, Slice of Life",7.25
Kuma Kuma Kuma Bear Punch!,UNKNOWN,12,"Apr 3, 2023 to Jun 19, 2023","Adventure, Comedy, Fantasy",7.27
Aggressive Retsuko (ONA) 4th Season,Aggretsuko (ONA) 4th Season,10,"Dec 16, 2021",Comedy,7.28
Urvan,UNKNOWN,1,"Feb 12, 2021","Mystery, Sci-Fi",5.85
Wu Liuqi: Xuanwu Guo Pian,Scissor Seven (2021),10,"Jan 21, 2021 to May 5, 2021","Action, Adventure, Comedy, Drama, Mystery",8.38
Chang Jian Feng Yun,"Long Sword, Wind and Cloud",10,"Jan 22, 2021 to Mar 19, 2021","Action, Drama",6.03
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,UNKNOWN,4,"Jan 31, 2021 to Feb 14, 2021","Action, Adventure, Fantasy",7.22
Orient,Orient,12,"Jan 6, 2022 to Mar 24, 2022","Action, Adventure, Fantasy",6.6
Gekidan Nanatsu no Taizai,UNKNOWN,13,"Dec 24, 2020 to Jan 5, 2021","Comedy, Fantasy, Supernatural",5.56
Mahouka Koukou no Yuutousei,The Honor Student at Magic High School,13,"Jul 3, 2021 to Sep 25, 2021","Fantasy, Sci-Fi",6.65
Holy Knight Light,UNKNOWN,1,"Dec 26, 2020","Action, Fantasy",7.04
IDOLiSH7 Third Beat!,IDOLISH7 Third BEAT!,13,"Jul 4, 2021 to Sep 26, 2021",Drama,8.21
2.43 Mini Anime: Volleyball Kouza,UNKNOWN,10,"Nov 29, 2020 to Jan 3, 2021",Sports,5.15
Itazuraguma no Gloomy,GLOOMY The Naughty Grizzly,12,"Apr 12, 2021 to Jun 28, 2021",Comedy,5.22
Kindan Joshi,UNKNOWN,5,"Dec 29, 2020 to Jan 3, 2021","Comedy, Romance",4.92
Tonikaku Kawaii: Kaisou,TONIKAWA: Over The Moon For You - Flashbacks,1,"Dec 26, 2020","Comedy, Romance",7.37
Xue Ying Ling Zhu 2nd Season,UNKNOWN,22,"Dec 31, 2020 to Mar 4, 2021","Action, Adventure, Fantasy, Romance",7.28
Chang An Huan Jie,Chang'an Magic Street,40,"Dec 31, 2020 to May 6, 2021",Fantasy,5.9
Jaku-Chara Tomozaki-kun Specials,Bottom-Tier Character Tomozaki Specials,2,"May 7, 2021 to Jun 2, 2021","Drama, Romance",6.67
Bear Bear Bear Kuma! Kumadam-hen,UNKNOWN,3,"Jan 27, 2021 to Mar 24, 2021",Comedy,5.47
Tadaima! Chibi Godzilla Season 2,"I'm Home, Chibigodzilla 2nd Season",13,"Dec 2, 2020 to Feb 24, 2021","Fantasy, Slice of Life",5.72
Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,12,"Apr 10, 2022 to Jul 10, 2022","Comedy, Romance",6.92
Drawing!!,Drawing!!,1,"Jul 9, 2007",Avant Garde,5.12
Deep Sea Tentacle,Deep Sea Tentacle,1,"Jul 16, 2007",Avant Garde,4.55
Wakame Buildings,Seaweed Buildings,1,"Jul 25, 2007",Avant Garde,5.05
Dinosaur Biyori,UNKNOWN,26,"Apr 4, 2021 to Sep 26, 2021",Slice of Life,5.82
Gyokou no Nikuko-chan,Fortune Favors Lady Nikuko,1,"Jun 11, 2021","Award-Winning, Drama",7.18
With All Our Hearts,UNKNOWN,1,"Jan 6, 2021",Fantasy,6.56
The First Slam Dunk,UNKNOWN,1,"Dec 3, 2022","Award-Winning, Sports",8.62
Soredemo Ayumu wa Yosetekuru,When Will Ayumu Make His Move?,12,"Jul 8, 2022 to Sep 23, 2022","Comedy, Romance",7.05
Xiyou Ji: Zai Shi Yao Wang,UNKNOWN,1,"Apr 2, 2021","Action, Fantasy",6.53
Dokidoki! Mini Mini! Kakushi Dungeon Gekijou,UNKNOWN,14,"Jan 9, 2021 to Mar 27, 2021","Comedy, Fantasy",5.84
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,UNKNOWN,12,"Apr 8, 2021 to Jun 24, 2021","Action, Fantasy, Slice of Life",5.89
Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,That Time I Got Reincarnated as a Slime Season 2: Digression - Hinata Sakaguchi,1,"Jan 5, 2021","Action, Adventure, Comedy, Fantasy",6.75
D4DJ Petit Mix,D4DJ Petit Mix,26,"Feb 5, 2021 to Jul 30, 2021",Comedy,6.97
Saiyuuki Reload: Zeroin,UNKNOWN,13,"Jan 6, 2022 to Mar 31, 2022","Action, Adventure, Comedy, Drama, Supernatural",6.58
Assault Lily: Fruits,UNKNOWN,13,"Jul 20, 2021 to Jan 4, 2022","Comedy, Fantasy",6.31
Enen no Shouboutai Mini Anime,Fire Force Mini Anime,30,"Jan 8, 2021 to Jul 30, 2021",Comedy,6.04
2.43: Seiin Koukou Danshi Volley-bu Mini Anime,UNKNOWN,8,"Nov 1, 2020 to Nov 27, 2020","Slice of Life, Sports",5.28
2.43 Mini Anime: Fukui-ben Kouza,UNKNOWN,8,"Jan 7, 2021 to Feb 26, 2021",Comedy,5.12
2.43 Mini Anime: Inside Story,UNKNOWN,10,"Jan 9, 2021 to Mar 13, 2021",Comedy,5.15
Id:Indeed,UNKNOWN,12,"Jan 8, 2021 to Mar 26, 2021",Comedy,5.54
Tales of Crestoria Off Shot Movie,Tales of Crestoria Behind the Scenes,1,"Dec 15, 2020","Comedy, Fantasy",5.99
Shiroi Suna no Aquatope,The Aquatope on White Sand,24,"Jul 9, 2021 to Dec 17, 2021","Drama, Slice of Life",7.51
Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,13,"Apr 3, 2021 to Jun 19, 2021","Action, Sci-Fi, Suspense",8.41
Odd Taxi,Odd Taxi,13,"Apr 6, 2021 to Jun 29, 2021","Award-Winning, Mystery",8.69
Wave!! Surfing Yappe!! (TV),WAVE!! -Let's go surfing!!-,12,"Jan 12, 2021 to Mar 30, 2021","Slice of Life, Sports",5.83
Mashiro no Oto Mini,UNKNOWN,33,"Jan 15, 2021 to Jun 21, 2021",Slice of Life,5.62
Blue Period,Blue Period,12,"Oct 2, 2021 to Dec 18, 2021",Drama,7.81
Shinkansen Henkei Robo Shinkalion Z the Animation,UNKNOWN,41,"Apr 9, 2021 to Mar 18, 2022","Action, Sci-Fi",6.29
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,The Seven Deadly Sins Movie 2: Cursed By Light,1,"Jul 2, 2021","Action, Adventure, Fantasy",7.13
Niehime to Kemono no Ou,Sacrificial Princess and the King of Beasts,24,"Apr 20, 2023 to ?","Fantasy, Romance",7.24
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",My Teen Romantic Comedy SNAFU Climax! OVA,1,"Apr 27, 2023","Comedy, Romance",7.58
"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,12,"Jul 4, 2021 to Sep 19, 2021","Comedy, Mystery, Romance",6.37
Santa Company: Manatsu no Merry Christmas,SANTA COMPANY ~Midsummer Merry Christmas~,1,"Jan 28, 2021",Fantasy,5.24
Jigokuraku,Hell's Paradise,13,"Apr 1, 2023 to Jul 1, 2023","Action, Adventure, Fantasy",8.26
Tenchi Souzou Design-bu: Idea 13,Heaven's Design Team: Idea 13,1,"Apr 2, 2021","Comedy, Fantasy",7.21
Dolls' Frontline,Girls' Frontline,12,"Jan 8, 2022 to Mar 26, 2022","Action, Drama, Sci-Fi",5.88
Liu Xing Huan Jian,Meteor Magic Sword,60,"Jan 28, 2021 to Aug 12, 2021","Action, Fantasy",5.46
Tropical-Rouge! Precure Petit Tobikome! Collaboration ♡ Dance Party!,UNKNOWN,1,"Mar 20, 2021",Fantasy,6.43
IDOLiSH7 Third Beat! Part 2,IDOLiSH7 Third BEAT! Part 2,17,"Oct 2, 2022 to Feb 26, 2023",Drama,8.3
Chocomatsu-san: Valentine's Day-hen,UNKNOWN,3,"Feb 13, 2021 to Feb 15, 2021",Comedy,5.86
Wei Wo Du Shen,I Am The only God,50,"Feb 4, 2021 to Jul 19, 2021","Action, Fantasy",5.99
Shu Shan Qi Xian Lu,Legend of Sho,10,"Dec 8, 2021 to Feb 2, 2022",Fantasy,5.85
Arifureta Shokugyou de Sekai Saikyou: Prologue,Arifureta: From Commonplace to World's Strongest - Prologue,1,"Mar 19, 2020",Fantasy,6.64
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",12,"Oct 5, 2021 to Dec 21, 2021","Adventure, Fantasy, Romance",6.22
Natsu no Uta,UNKNOWN,1,"Jul 25, 2019","Comedy, Slice of Life",6.17
Xing Wushen Jue,UNKNOWN,40,"Jan 28, 2021 to May 30, 2021","Action, Fantasy",6.81
Tensai Ouji no Akaji Kokka Saisei Jutsu,The Genius Prince's Guide to Raising a Nation Out of Debt,12,"Jan 11, 2022 to Mar 29, 2022","Comedy, Fantasy",7.39
Shikkakumon no Saikyou Kenja,The Strongest Sage with the Weakest Crest,12,"Jan 8, 2022 to Mar 26, 2022","Action, Adventure, Fantasy",6.23
Shokei Shoujo no Virgin Road,The Executioner and Her Way of Life,12,"Apr 2, 2022 to Jun 18, 2022","Action, Adventure, Fantasy",6.8
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,12,"Jul 4, 2022 to Sep 12, 2022","Action, Adventure, Fantasy",6.31
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,11,"Jul 23, 2022 to Oct 1, 2022","Action, Adventure, Fantasy",7.71
Summertime Render,Summer Time Rendering,25,"Apr 15, 2022 to Sep 30, 2022","Mystery, Supernatural, Suspense",8.51
Jouran: The Princess of Snow and Blood,Joran The Princess of Snow and Blood,12,"Apr 7, 2021 to Jun 23, 2021","Action, Fantasy",6.09
Shinigami Bocchan to Kuro Maid,The Duke of Death and His Maid,12,"Jul 4, 2021 to Sep 19, 2021","Comedy, Supernatural",7.61
Shin Gengou Nyankogelion,UNKNOWN,1,"Jan 22, 2021",Sci-Fi,7.21
Seven Knights Revolution: Eiyuu no Keishousha,Seven Knights Revolution: Hero Successor,12,"Apr 5, 2021 to Jun 21, 2021","Action, Adventure, Fantasy",6.31
Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,Junior High and High School!! Kimetsu Academy Story: Valentine Edition,4,"Feb 14, 2021",Comedy,6.69
Heikousen,Gift,1,"Feb 5, 2021",Romance,7.7
Kuiba Zhi Shu Tu,UNKNOWN,7,"Jan 17, 2021 to Feb 21, 2021","Adventure, Fantasy",5.97
Wanmei Shijie,Perfect World,130,"Apr 23, 2021 to ?","Action, Adventure, Fantasy",7.4
Gekijou Tanpen Macross Frontier: Toki no Meikyuu,UNKNOWN,1,"Oct 8, 2021","Action, Romance, Sci-Fi",6.95
Initial D Battle Stage 3,Initial D Battle Stage 3,1,"Mar 5, 2021",Action,7.42
Detective Conan: The Scarlet Alibi,UNKNOWN,1,"Feb 11, 2021","Action, Comedy, Drama, Mystery",7.31
Inou no AICis: ESP & High School Detective,AICis the Supernatural,15,"Feb 13, 2021 to Jun 12, 2021","Mystery, Supernatural",5.76
Nu Wushen de Canzhuo Spring Festival Special,Cooking with Valkyries Spring Festival Special,1,"Feb 11, 2021","Comedy, Gourmet",7.09
Yakusoku no Neverland: Michishirube,The Promised Neverland: Guidepost,1,"Feb 12, 2021","Fantasy, Mystery, Sci-Fi, Suspense",4.7
Koi wa 1-nichi ni Shite Narazu,UNKNOWN,1,"Feb 8, 2021",Slice of Life,5.26
A.A,UNKNOWN,1,"Oct 27, 2010",Avant Garde,5.14
Blue Reflection Ray,Blue Reflection Ray,24,"Apr 10, 2021 to Sep 25, 2021",Fantasy,5.81
