Name,English name,Episodes,Aired,Genres,Score
Sen to Chihiro no Kamikakushi,Spirited Away,1,"Jul 20, 2001","Adventure, Award-Winning, Supernatural",8.78
Tenshi na Konamaiki,Cheeky Angel,50,"Apr 7, 2002 to Mar 30, 2003","Comedy, Romance",7.43
Wolf's Rain,Wolf's Rain,26,"Jan 7, 2003 to Jul 29, 2003","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",7.8
Samurai Champloo,Samurai Champloo,26,"May 20, 2004 to Mar 19, 2005","Action, Adventure, Comedy",8.51
Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,27,"Apr 1, 1998 to Sep 30, 1998","Action, Adventure, Drama, Fantasy, Romance",7.13
Lodoss-tou Senki,Record of Lodoss War,13,"Jun 30, 1990 to Nov 23, 1991","Action, Adventure, Fantasy",7.36
R.O.D: Read or Die,R.O.D - Read or Die,3,"May 23, 2001 to Feb 6, 2002","Action, Adventure, Mystery, Sci-Fi",7.63
R.O.D: The TV,R.O.D -The TV-,26,"Sep 1, 2003 to Mar 16, 2004","Action, Adventure, Comedy, Drama, Sci-Fi",7.53
Ranma ½,Ranma ½,161,"Apr 15, 1989 to Sep 25, 1992","Action, Comedy, Fantasy",7.76
Project A-Ko,UNKNOWN,1,"Jun 21, 1986","Action, Adventure, Comedy, Sci-Fi",6.85
Pia Carrot e Youkoso!! 2 DX,UNKNOWN,6,"Dec 18, 1999 to Oct 25, 2000","Comedy, Romance",6.19
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka's Love Story,1,"Oct 19, 2002","Comedy, Romance",5.81
Kidou Senkan Nadesico,Martian Successor Nadesico,26,"Oct 1, 1996 to Mar 25, 1997","Action, Romance, Sci-Fi",7.49
Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico: The Prince of Darkness,1,"Aug 1, 1998","Action, Award-Winning, Drama, Sci-Fi",6.73
Mezzo DSA,UNKNOWN,13,"Jan 4, 2004 to Mar 28, 2004","Action, Adventure, Comedy, Mystery, Sci-Fi",6.65
Dragon Ball,Dragon Ball,153,"Feb 26, 1986 to Apr 12, 1989","Action, Adventure, Comedy, Fantasy",7.96
Dragon Ball GT,Dragon Ball GT,64,"Feb 7, 1996 to Nov 19, 1997","Action, Adventure, Comedy, Fantasy",6.48
Elfen Lied,Elfen Lied,13,"Jul 25, 2004 to Oct 17, 2004","Action, Drama, Horror, Romance, Supernatural",7.48
FLCL,FLCL,6,"Apr 26, 2000 to Mar 16, 2001","Action, Avant Garde, Comedy, Sci-Fi",8.03
Jigoku Shoujo,Hell Girl,26,"Oct 5, 2005 to Apr 5, 2006","Horror, Mystery, Supernatural",7.61
Ninin ga Shinobuden,Ninja Nonsense,12,"Jul 10, 2004 to Sep 25, 2004",Comedy,6.89
Air Master,Air Master,27,"Apr 2, 2003 to Oct 1, 2003","Action, Comedy",6.97
Asagiri no Miko,Shrine of the Morning Mist,26,"Jul 4, 2002 to Dec 26, 2002","Action, Comedy, Fantasy, Supernatural",6.1
Cardcaptor Sakura,Cardcaptor Sakura,70,"Apr 7, 1998 to Mar 21, 2000","Adventure, Comedy, Drama, Fantasy, Romance",8.16
Daa! Daa! Daa!,UNKNOWN,78,"Mar 28, 2000 to Feb 26, 2002","Comedy, Sci-Fi",7.66
Dan Doh!!,UNKNOWN,26,"Apr 3, 2004 to Sep 25, 2004","Adventure, Sports",6.63
E's Otherwise,E's Otherwise,26,"Apr 1, 2003 to Sep 23, 2003","Adventure, Comedy, Drama, Sci-Fi, Supernatural",6.59
Koukyoushihen Eureka Seven,Eureka Seven,50,"Apr 17, 2005 to Apr 2, 2006","Adventure, Drama, Romance, Sci-Fi",8.06
Rekka no Honoo,Flame of Recca,42,"Jul 19, 1997 to Jul 10, 1998","Action, Adventure",7.34
Gankutsuou,Gankutsuou: The Count of Monte Cristo,24,"Oct 6, 2004 to Mar 30, 2005","Award-Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",8.14
Genshiken,Genshiken,12,"Oct 11, 2004 to Dec 27, 2004","Comedy, Slice of Life",7.63
Gokusen,The Gokusen,13,"Jan 7, 2004 to Mar 31, 2004","Comedy, Drama, Slice of Life",7.41
