Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Rodrigo Bentancur,MF,Uruguay,25-176,Tottenham,3,3,0,197.0,160.0
Rodrigo De Paul,MF,Argentina,28-208,Atlético Madrid,7,7,0,625.0,562.0
Rodrygo,MF,Brazil,21-343,Real Madrid,5,6,0,152.0,113.0
Rogelio Funes Mori,FW,Mexico,31-288,Monterrey,1,1,0,2.0,0.0
Romain Saïss,DF,Morocco,32-267,Beşiktaş,6,1,1,248.0,199.0
Romario Ibarra,MF,Ecuador,28-085,Pachuca,2,2,0,23.0,14.0
Romelu Lukaku,FW,Belgium,29-219,Inter,2,5,0,16.0,9.0
Roozbeh Cheshmi,DF,IR Iran,29-147,Esteghlal,2,1,1,19.0,11.0
Ruben Vargas,FW,Switzerland,24-135,Augsburg,4,3,0,140.0,117.0
Rubin Colwill,MF,Wales,20-235,Cardiff City,1,1,0,6.0,4.0
Ró-Ró,DF,Qatar,32-134,Al Sadd SC,3,2,0,134.0,108.0
Rónald Matarrita,DF,Costa Rica,28-162,FC Cincinnati,2,0,0,30.0,29.0
Rúben Dias,DF,Portugal,25-218,Manchester City,4,1,0,293.0,274.0
Rúben Neves,MF,Portugal,25-280,Wolves,5,2,0,275.0,257.0
Saad Al Sheeb,GK,Qatar,32-302,Al Sadd SC,1,0,0,22.0,20.0
Sadegh Moharrami,DF,IR Iran,26-292,Dinamo Zagreb,1,0,0,32.0,26.0
Saeid Ezatolahi,MF,IR Iran,26-078,Vejle BK,3,3,0,115.0,88.0
Saleh Al-Shehri,FW,Saudi Arabia,29-047,Al-Hilal,3,2,1,73.0,47.0
Salem Al-Dawsari,MF,Saudi Arabia,31-121,Al-Hilal,3,6,2,146.0,111.0
Salis Abdul Samed,MF,Ghana,22-267,Lens,3,1,0,169.0,145.0
Salman Al-Faraj,MF,Saudi Arabia,33-139,Al-Hilal,1,0,0,19.0,16.0
Sam Adekugbe,DF,Canada,27-336,Hatayspor,3,0,0,77.0,71.0
Saman Ghoddos,MF,IR Iran,29-103,Brentford,1,1,0,24.0,20.0
Sami Al-Najei,MF,Saudi Arabia,25-314,Al-Nassr,1,0,0,25.0,21.0
