date,city,state,shape,comments
2025-01-07,Fresno,CA,Triangle,"I went to let my dog outside to go pee, then I heard a sonic boom the engines i looked up and that sucker turned up and disappeared"
2025-01-06,San Diego,CA,Oval,Silver Perpendicular Oval Ring Like Craft
2025-01-06,Brentwood,CA,Unknown,I was driving looked up in the sky at (2x) objects flying synchronously
2025-01-06,Union City,CA,Disk,I was sleeping and randomly woke up and to two flying discs.
2025-01-05,Sacramento,CA,Triangle,"Flew by me north to south, just to the west of of me. Totally silent, consistent speed."
2025-01-05,Moreno Valley,CA,Circle,I was watching from outside my windows and these crafts continually came up from behind the mountain
2025-01-05,Rocklin,CA,Oval,6 oval shaped objects in a triangle formation gliding silently though the night sky
2025-01-04,Gilroy,CA,Changing,We saw weird stuff in the sky it looked like rotating circles
2025-01-04,Oceanside,CA,Triangle,triangle shaped craft was over the ocean towards San Clemente Island.
2025-01-04,Acton,CA,Circle,What we saw was def a spacecraft. Round yet octagon. The red flashing lights went all around and a red light triangle in center.
2025-01-03,Arden-Arcade,CA,Other,"I saw a craft that I thought was a plane, but it began ascending and descending then wavering between both, it came toward my car"
2025-01-03,Palos Verdes Estates,CA,Light,UFO flying close to ground with 2 lights very oddly shaped
2025-01-02,Pinole,CA,Oval,Extremely fast green oval light flew by then stopped on a dime hovered then flashed by and disappeared
2025-01-01,Sonora,CA,Other,The colors were flowing in a clover shape around the mirror like thing
2024-12-30,Turlock,CA,Rectangle,"Exact shape could not be determined, but pink lights at aircraft's base (bottom side) were positioned in a rectangular fashion."
2024-12-29,Los Angeles,CA,Orb,I saw a stable glowing orb close to me n it disappeared in 15 min when I came back
2024-12-29,Palm Desert,CA,Orb,Flashing orb
2024-12-29,San Jose,CA,Orb,Glowing bright orb that wasn’t moving then morphed into a craft.
2024-12-28,Temecula,CA,Unknown,Took photo from on top of parking structure. Thought you might give me a little understanding of what I witnessed and photographed.
2024-12-28,Los Angeles,CA,Cigar,Red cigar and then a ball of light
2024-12-28,West Covina,CA,Orb,Bright red orange orb sighting
2024-12-27,Modesto,CA,Orb,4 white orbs going and coming back
2024-12-23,Santa Rosa,CA,Circle,Flashing light
2024-12-23,Escondido,CA,Cigar,"It looked like a floating prism in the sky. It moved in a way that’s doesn’t seem possible, we have videos of it."
2024-12-23,Nevada City,CA,Changing,It's a bright red light cannot be seen from either side with soft white lites floating around pulsating. Upward from craft
2024-12-22,Watsonville,CA,Diamond,Multiple low passes of aircraft over my house around 500 ft same direction
2024-12-22,San Diego,CA,Changing,We saw one like a month ago. Tonight it’s back. Just an orb hanging in the sky.
2024-12-21,Lancaster,CA,Orb,4 drones and 1 orb
2024-12-21,Hesperia,CA,Orb,"Orb sighting, floating slowly at first. I pursued with my drone. UAP did evasive maneuvers"
2024-12-21,Coyote,CA,Triangle,As I was right beneath the craft on north bound high way 101 I looked up and it looked like the craft cabin was lit up with white light
2024-12-20,Ukiah,CA,Other,5 lofting and silent objects with pulsating soluble yellow to red lights .
2024-12-20,Weed,CA,Circle,Stationary very large bright light hovered for 30 minutes before quickly accelerating away leaving a “light trail” behind
